column_0,column_1,column_2
Расписание занятий,,
на 2 семестр 2025-2026 учебного года.,,
Институт биотехнологии 2 курс,,
,,
Дни,Часы,М-ВБ-21
"6202.20.61
киньледеноП",08.30-10.00,
,,
,10.10-11.40,лек. МЕТОДИКА ПРЕПОДАВАНИЯ В ВЫСШЕЙ ШКОЛЕ
,,доц. Капичников А.И. ауд. 418
,12.00-13.30,лек. МЕТОДИКА ПРЕПОДАВАНИЯ В ВЫСШЕЙ ШКОЛЕ
,,доц. Капичников А.И. ауд. 418
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
,,
"6202.20.71
кинротВ",08.30-10.00,
,,
,10.10-11.40,
,,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,лек. СИСТЕМНЫЙ АНАЛИЗ В РЫБОХОЗЯЙСТВЕННЫХ ИССЛЕДОВАНИЯХ
,,доц. Преображенская Т.С. ауд. 434
,17.00-18.30,лек. СИСТЕМНЫЙ АНАЛИЗ В РЫБОХОЗЯЙСТВЕННЫХ ИССЛЕДОВАНИЯХ
,,доц. Преображенская Т.С. ауд. 434
"6202.20.81
адерС",08.30-10.00,
,,
,10.10-11.40,
,,
,12.00-13.30,лек. СИСТЕМНЫЙ АНАЛИЗ В РЫБОХОЗЯЙСТВЕННЫХ ИССЛЕДОВАНИЯХ
,,доц. Преображенская Т.С. ауд. 434
,13.40-15.10,лек. МЕТОДИКА ПРЕПОДАВАНИЯ В ВЫСШЕЙ ШКОЛЕ
,,доц. Капичников А.И. ауд. С-208
,15.20-16.50,пр.з. МЕТОДИКА ПРЕПОДАВАНИЯ В ВЫСШЕЙ ШКОЛЕ
,,доц. Капичников А.И. ауд. С-208
"6202.20.91
гревтеЧ",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,пр.з. МЕТОДИКА ПРЕПОДАВАНИЯ В ВЫСШЕЙ ШКОЛЕ
,,доц. Капичников А.И. ауд. 418
,13.40-15.10,пр.з. МЕТОДИКА ПРЕПОДАВАНИЯ В ВЫСШЕЙ ШКОЛЕ
,,доц. Капичников А.И. ауд. 418
,15.20-16.50,пр.з. МЕТОДИКА ПРЕПОДАВАНИЯ В ВЫСШЕЙ ШКОЛЕ
,,доц. Капичников А.И. ауд. 418
,17.00-18.30,
,,
"6202.20.02
ацинтяП",08.30-10.00,
,,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,лек. СОВРЕМЕННЫЕ ПРОБЛЕМЫ И ПЕРСПЕКТИВЫ РАЗВИТИЯ АКВАКУЛЬТУРЫ
,,доц. Руднева О.Н. ауд. 434
,15.20-16.50,лаб.з. СИСТЕМНЫЙ АНАЛИЗ В РЫБОХОЗЯЙСТВЕННЫХ ИССЛЕДОВАНИЯХ
,,доц. Преображенская Т.С. ауд. 434
,17.00-18.30,
"6202.20.12
атоббуС",08.30-10.00,
,,
,10.10-11.40,
,,
,12.00-13.30,
,,
,13.40-15.10,
,,
,15.20-16.50,
,,
